Número de registro;Comunidad autónoma;Provincia;Localidad;Denominación;Estado de la fosa;Tipo de fosa;Estado actual;Ubicación precisa
2062/2010 HUEL;Andalucía;Huelva;San Bartolomé de la Torre;Fosa 1 en Cementerio de San Bartolomé de la Torre;NO INTERVENIDA;-;-;N
2063/2010 HUEL;Andalucía;Huelva;San Bartolomé de la Torre;Fosa 2 en Cementerio de San Bartolomé de la Torre;NO INTERVENIDA;-;-;N
2064/2010 HUEL;Andalucía;Huelva;San Silvestre de Guzmán;Fosas en cementerio de San Silvestre de Guzmán;NO EXHUMADA, PERO DIGNIFICADA;-;11;N
2065/2010 HUEL;Andalucía;Huelva;Sanlúcar de Guadiana;Fosa en cementerio de Sanlúcar de Guadiana;DESAPARECIDA;-;1;N
2066/2010 HUEL;Andalucía;Huelva;Valverde del Camino;Fosa en cementerio de Valverde;NO EXHUMADA, PERO DIGNIFICADA;-;11;N
2067/2010 HUEL;Andalucía;Huelva;Villanueva de los Castillejos;Fosa 2 en cementerio de Villanueva de los Castillejos;NO EXHUMADA, PERO DIGNIFICADA;-;11;N
2068/2010 HUEL;Andalucía;Huelva;Villanueva de los Castillejos;Fosa 1 en cementerio de Villanueva de los Castillejos;NO EXHUMADA, PERO DIGNIFICADA;-;11;N
2069/2010 HUEL;Andalucía;Huelva;Villanueva de las Cruces;Fosa en cementerio de Villanueva de las Cruces;DESAPARECIDA;-;-;N
207/2009 ASTU;Principado de Asturias;Asturias;Piloña;Fosa de Ledrau, carretera de Ponga;NO INTERVENIDA;FUSILAMIENTO (OPCION A EXTINGUIR);-;N
2070/2010 HUEL;Andalucía;Huelva;Zalamea la Real;Fosa en cementerio de Zalamea La Real;DESAPARECIDA;-;1;N
2071/2010 HUEL;Andalucía;Huelva;Zalamea la Real;Fosa de 'el marido de la Modestita';NO INTERVENIDA;-;-;N
2072/2010 HUEL;Andalucía;Huelva;Almonaster la Real;Fosa del cementerio civil de Almonaster;NO EXHUMADA, PERO DIGNIFICADA;FUSILAMIENTO (OPCION A EXTINGUIR);11;N
2073/2010 HUEL;Andalucía;Huelva;Aracena;Fosa en cementerio de Aracena;NO EXHUMADA, PERO DIGNIFICADA;-;11;N
2074/2010 HUEL;Andalucía;Huelva;Aroche;Fosa en antiguo dementerio de Aroche;NO INTERVENIDA;-;-;N
2075/2010 HUEL;Andalucía;Huelva;Arroyomolinos de León;Fosas en cementerio de Arroyomolinos de León;NO INTERVENIDA;-;-;N
2076/2010 HUEL;Andalucía;Huelva;Cala;Fosa en cementerio de Cala;NO EXHUMADA, PERO DIGNIFICADA;-;11;N
2077/2010 HUEL;Andalucía;Huelva;Cañaveral de León;Fosa en cementerio de Cañaveral de León;NO EXHUMADA, PERO DIGNIFICADA;-;11;N
